numero_turno,numero_linea,nombre_linea,botellas_producidas,botellas_rechazadas,eficiencia
1,1,Linea Gamma,825,23,97.21
1,2,Linea Alfa,446,490,-9.87
1,3,Linea Alfa,-505,1,100.2
1,1,Linea Alfa,1317,-3,100.23
1,2,Linea Epsilon,1465,-7,100.48
1,3,Linea Alfa,1403,-15,101.07
1,1,Linea Beta,1148,8,99.3
1,2,Linea Alfa,1144,-8,100.7
1,3,Linea Gamma,-556,19,103.42
1,1,Linea Delta,1349,3,99.78
1,2,   ,1100,26,97.64
1,3,Linea Beta,871,1,99.89
1,1,Linea Beta,881,27,96.94
1,2,Linea Delta,1189,8,99.33
1,3,Linea Gamma,1173,5,99.57
1,1,Linea Alfa,1486,8,99.46
1,2,Linea Beta,975,17,98.26
1,3,Linea Epsilon,1188,-13,101.09
1,1,Linea Alfa,857,7,99.18
1,2,Linea Alfa,1210,8,99.34
1,3,Linea Gamma,1380,-14,101.01
1,1,Linea Delta,1205,28,97.68
1,2,Linea Epsilon,-49,7,114.29
1,3,Linea Epsilon,304,337,-10.86
1,1,Linea Delta,941,-18,101.91
1,2,Linea Beta,912,4,99.56
1,3,Linea Alfa,1232,19,98.46
1,1,Linea Epsilon,1410,14,99.01
1,2,Linea Alfa,448,465,-3.79
1,3,Linea Gamma,1349,24,98.22
2,1,Linea Gamma,1148,3,99.74
2,2,Linea Gamma,1264,0,100.0
2,3,Linea Alfa,982,16,98.37
2,1,Linea Epsilon,1105,26,97.65
2,2,Linea Beta,956,11,98.85
2,3,Linea Alfa,1343,29,97.84
2,1,Linea Alfa,1300,0,100.0
2,2,Linea Alfa,1114,7,99.37
2,3,Linea Alfa,143,184,-28.67
2,1,Linea Beta,1345,24,98.22
2,2,Linea Epsilon,-431,30,106.96
2,3,Linea Beta,376,398,-5.85
2,1,Linea Gamma,1208,21,98.26
2,2,Linea Alfa,1329,14,98.95
2,3,Linea Alfa,401,446,-11.22
2,1,Linea Alfa,1025,-19,101.85
2,2,Linea Gamma,832,-18,102.16
2,3,Linea Delta,1085,21,98.06
2,1,Linea Epsilon,935,-2,100.21
2,2,Linea Delta,1284,25,98.05
2,3,Linea Delta,899,-9,101.0
2,1,Linea Alfa,1278,27,97.89
2,2,Linea Alfa,1461,3,99.79
2,3,Linea Alfa,1147,25,97.82
2,1,Linea Delta,171,208,-21.64
2,2,Linea Alfa,1273,-6,100.47
2,3,Linea Alfa,1363,3,99.78
2,1,Linea Alfa,1353,26,98.08
2,2,Linea Delta,1042,5,99.52
2,3,Linea Delta,1018,27,97.35
3,1,Linea Alfa,968,12,98.76
3,2,Linea Delta,1071,29,97.29
3,3,Linea Delta,179,201,-12.29
3,1,Linea Epsilon,131,161,-22.9
3,2,      ,1398,15,98.93
3,3,Linea Beta,-530,2,100.38
3,1,Linea Beta,1491,27,98.19
3,2,Linea Epsilon,1383,7,99.49
3,3,Linea Delta,1434,2,99.86
3,1,Linea Gamma,1378,16,98.84
3,2,Linea Gamma,1009,21,97.92
3,3,Linea Gamma,1205,-6,100.5
3,1,Linea Delta,874,0,100.0
3,2,Linea Alfa,1376,3,99.78
3,3,Linea Beta,1318,8,99.39
3,1,Linea Beta,870,28,96.78
3,2,Linea Epsilon,961,14,98.54
3,3,Linea Epsilon,1426,25,98.25
3,1,,1367,9,99.34
3,2,Linea Epsilon,179,206,-15.08
3,3,Linea Gamma,204,254,-24.51
3,1,Linea Gamma,1317,15,98.86
3,2,Linea Delta,852,2,99.77
3,3,Linea Gamma,845,0,100.0
3,1,Linea Beta,1452,8,99.45
3,2,Linea Delta,1364,22,98.39
3,3,Linea Beta,914,2,99.78
3,1,Linea Epsilon,1178,18,98.47
3,2,Linea Gamma,-227,1,100.44
3,3,Linea Gamma,840,28,96.67
